"cartodb_id","geocode_string","lon","lat"
"537491","ALGARROBO 1041,Capital Federal,Argentina","-58.3794556","-34.6548386"
"336659","Atlanta, GA 30326","-84.36326","33.84942"
"336660","BalHarbour, FL 33154","8.6089401","51.6737709"
"537492","ARCOS 2601,Capital Federal,Argentina","-58.4578514","-34.5555382"
"336662","BocaRaton, FL 33431","-80.1003571","26.3787003"
"336663","Boston, MA 02116","-71.0766","42.35"
"336664","Calgary, AB T2H 0K8","-114.0717316","50.9958191"
"336665","Charlotte, NC 28211","-80.79266","35.17108"
"336666","Chicago, IL 60611","-87.61596","41.89578"
"336667","CostaMesa, CA 92626","-117.9029922","33.6638603"
"336668","Dallas, TX 75205","-96.79462","32.83385"
"336669","EastHampton, NY 11937","-72.1855927","40.9632797"
"336670","Greenwich, CT 06820","-73.6397705","41.0642509"
"336671","Hackensack, NJ 07601","-74.04446","40.88606"
"336672","Honolulu, HI 96814","-157.84674","21.29384"
"336673","Honolulu, HI 96815","-157.82357","21.27307"
"336674","Houston, TX 77506","-95.2002","29.71573"
"336675","KofP, PA 19406","-75.3849792","40.0907784"
"336676","LasVegas, NV 89109","-115.164032","36.1224709"
"336677","LosAngeles, CA 90048","-118.3760834","34.0708504"
"336678","LosAngeles, CA 90067","-118.4145508","34.0573692"
"336679","Malibu, CA 90265","-118.68796","34.03652"
"336680","Manhasset, NY 11030","-73.69817","40.79823"
"336681","McClean, VA 22102","-77.1842804","38.9365196"
"336682","Naples, FL 34108","-81.80715","26.24336"
"336683","Nashville, TE 37215","-86.8383179","36.0861511"
"336684","NYC, NY 10012","-73.99835","40.72616"
"336685","NYC, NY 10014","-74.00697","40.735"
"336686","NYC, NY 10065","-73.96311","40.76745"
"336688","PalmBeach, FL 33410","-80.1052628","26.8333797"
"336689","PalmBeach, FL 33480","-80.0365829","26.7028809"
"336690","PaloAlto, CA 94304","-122.1706696","37.371151"
"3026785","1006 Balanced Rock Pl. Round Rock, TX 78681 United States","",""
"336692","SanDiego, CA 92108","-117.1470566","32.7754097"
"336693","SanFrancisco, CA 94103","-122.4126968","37.7753716"
"336694","SanFrancisco, CA 94108","-122.4089127","37.7908211"
"336695","SantaClara, CA 95050","-121.9549713","37.3557701"
"336696","SantaMonica, CA 90401","-118.4922638","34.0115891"
"336697","Scottsdale, AZ 85251","-111.92069","33.494"
"336698","ShortHills, NJ 07078","-74.3654022","40.7414017"
"3026786","1008 Blackwell Ct. Unit 1 Richmond, KY 40475 United States","-84.3119202","37.7303886"
"336700","Toronto, ON M6A 2T9","-79.4570847","43.7249527"
"336701","Troy, MI 48084","-83.15449","42.56238"
"336702","WhitePlains, NY 10601","-73.7641373","41.0335083"
"537493","AVENIDA CABILDO 3067,Capital Federal,Argentina","-58.4640121","-34.5537682"
