cartodb_id|orig_geocode_string|orig_lat|orig_lon|mapzen_lat|mapzen_lon|mapquest_lat|mapquest_lon
336663|Boston, MA 02116|42.35|-71.0766|42.35843|-71.05977|42.3492643|-71.0669955
336659|Atlanta, GA 30326|33.84942|-84.36326|33.749|-84.38798|33.7490987|-84.3901849
537491|ALGARROBO 1041,Capital Federal,Argentina|-34.6548386|-58.3794556|-34.654896|-58.379935|-34.6550792|-58.3799033117504
336666|Chicago, IL 60611|41.89578|-87.61596|41.85003|-87.65005|51.1163375|-0.5411582
537492|ARCOS 2601,Capital Federal,Argentina|-34.5555382|-58.4578514|-34.555556|-58.457949|-34.5555562|-58.4579492
336672|Honolulu, HI 96814|21.29384|-157.84674|21.30694|-157.85833|21.3064938|-157.865126
336671|Hackensack, NJ 07601|40.88606|-74.04446|40.88593|-74.04347|40.8856549|-74.0526406
336673|Honolulu, HI 96815|21.27307|-157.82357|21.30694|-157.85833|21.27092775|-157.818880128951
336680|Manhasset, NY 11030|40.79823|-73.69817|40.79788|-73.69957|40.7978787|-73.6995749
336674|Houston, TX 77506|29.71573|-95.2002|29.76328|-95.36327|29.7589382|-95.3676974
336668|Dallas, TX 75205|32.83385|-96.79462|32.78306|-96.80667|32.7761963|-96.7968994
336679|Malibu, CA 90265|34.03652|-118.68796|34.00501|-118.81009|34.04148005|-118.708806645577
336684|NYC, NY 10012|40.72616|-73.99835|40.68361|-73.9817|40.7197599|-73.9981915
336685|NYC, NY 10014|40.735|-74.00697|40.68361|-73.9817|40.6208914|-73.9861874423412
336683|Nashville, TE 37215|36.0861511|-86.8383179|36.16589|-86.78444|36.1622257|-86.7743419
336681|McClean, VA 22102|38.9365196|-77.1842804|51.554713|9.929956|32.355632|-111.3589649
336682|Naples, FL 34108|26.24336|-81.80715|26.14204|-81.79481|26.1420358|-81.7948103
336686|NYC, NY 10065|40.76745|-73.96311|40.68361|-73.9817|40.6208914|-73.9861874423412
3026785|1006 Balanced Rock Pl. Round Rock, TX 78681 United States|||30.558993|-97.74038|30.5588995|-97.74023225
336697|Scottsdale, AZ 85251|33.494|-111.92069|33.50921|-111.89903|33.5092098|-111.8990297
336701|Troy, MI 48084|42.56238|-83.15449|42.60559|-83.14993|42.6055893|-83.1499304
